Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
gpr[1]_5__MUX4X1P4H7L_B_Y_AOI31X0P5H7L_B0_Y_AOI2BB1X0P5H7L_B0,1.2,3.261e-06,0.000e+00,1.813e-09,3.262e-06
pc[1]_reg_p_D_MUX2X0P5H7L_Y_A_XOR2X0P5H7L_Y,1.2,3.223e-06,0.000e+00,3.091e-09,3.226e-06
seg1[2]_reg_p_D_OAI22X0P5H7L_Y_B0_AOI21X0P5H7L_Y,1.2,3.195e-06,0.000e+00,8.218e-10,3.196e-06
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1H7L_A_Y_NOR2X1P4H7L_B,1.2,3.179e-06,0.000e+00,9.637e-10,3.180e-06
seg0[5]_reg_p_D_OAI31X0P5H7L_Y_A2_OAI21X0P5H7L_B0,1.2,3.100e-06,0.000e+00,7.029e-10,3.101e-06
seg1[4]_reg_p_D_AOI21X0P5H7L_Y_A1_AOI21X0P5H7L_Y,1.2,3.034e-06,0.000e+00,8.151e-10,3.035e-06
gpr[2]_0__MUX2X0P5H7L_A,1.2,2.824e-06,0.000e+00,2.056e-09,2.827e-06
gpr[2]_1__MUX2X0P5H7L_A,1.2,2.824e-06,0.000e+00,2.056e-09,2.827e-06
gpr[2]_2__MUX2X0P5H7L_A,1.2,2.824e-06,0.000e+00,2.056e-09,2.827e-06
gpr[2]_3__MUX2X0P5H7L_A,1.2,2.824e-06,0.000e+00,2.056e-09,2.827e-06
gpr[2]_4__MUX2X0P5H7L_A,1.2,2.797e-06,0.000e+00,2.063e-09,2.799e-06
gpr[2]_6__MUX2X0P5H7L_A,1.2,2.793e-06,0.000e+00,2.064e-09,2.795e-06
gpr[2]_5__MUX2X0P5H7L_A,1.2,2.791e-06,0.000e+00,2.065e-09,2.793e-06
seg0[2]_reg_p_D_OAI22X0P5H7L_Y_B0_AOI21X0P5H7L_Y,1.2,2.783e-06,0.000e+00,8.685e-10,2.783e-06
gpr[2]_7__MUX2X0P5H7L_A,1.2,2.710e-06,0.000e+00,2.085e-09,2.712e-06
