* 30f5cf2	(2026-02-19 12:20:24 +0800) 上一个貌似是没有问题的
| * a99315b	(2026-02-19 11:45:36 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:45:36 up  4:13,  1 user,  load average: 0.17, 0.17, 0.22
| * 22c31be	(2026-02-19 11:24:48 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:24:48 up  3:51,  1 user,  load average: 0.28, 0.41, 0.41
| * 1858a69	(2026-02-19 11:24:47 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:24:47 up  3:51,  1 user,  load average: 0.28, 0.41, 0.41
| * 9c34b9f	(2026-02-19 11:21:30 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:21:30 up  3:47,  1 user,  load average: 1.22, 0.66, 0.48
| * 0780c85	(2026-02-19 11:21:30 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:21:30 up  3:47,  1 user,  load average: 1.22, 0.66, 0.48
| * bea980a	(2026-02-19 11:21:17 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:21:17 up  3:47,  1 user,  load average: 0.80, 0.56, 0.45
| * 8986ab6	(2026-02-19 11:21:17 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:21:17 up  3:47,  1 user,  load average: 0.80, 0.56, 0.45
| * 470d9b4	(2026-02-19 11:20:49 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:20:49 up  3:47,  1 user,  load average: 0.95, 0.57, 0.45
| * 796c53c	(2026-02-19 11:20:49 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:20:49 up  3:47,  1 user,  load average: 0.95, 0.57, 0.45
| * 718753f	(2026-02-19 11:20:25 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:20:25 up  3:46,  1 user,  load average: 0.77, 0.52, 0.43
| * 0390476	(2026-02-19 11:20:25 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:20:25 up  3:46,  1 user,  load average: 0.77, 0.52, 0.43
| * 03cdd2d	(2026-02-19 11:18:52 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:18:52 up  3:44,  1 user,  load average: 0.48, 0.44, 0.40
| * fecfbdf	(2026-02-19 11:18:52 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:18:52 up  3:44,  1 user,  load average: 0.48, 0.44, 0.40
| * 6f31729	(2026-02-19 11:18:16 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:18:16 up  3:44,  1 user,  load average: 0.39, 0.42, 0.39
| * ef1c7d7	(2026-02-19 11:18:16 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  11:18:16 up  3:44,  1 user,  load average: 0.39, 0.42, 0.39
