Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT1[2]_reg_p_D_OAOI211X1P4H7L_Y_B0_NAND2X0P5H7L_Y,1.2,7.246e-06,0.000e+00,4.889e-10,7.246e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A1_NOR4X6H7L_Y_B_XNOR2X1P4H7L_Y,1.2,7.191e-06,0.000e+00,3.322e-09,7.194e-06
buffer_9__XNOR2X3H7L_B,1.2,7.104e-06,0.000e+00,4.202e-09,7.108e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_NOR4X6H7L_Y_A_XNOR2X1H7L_Y,1.2,6.954e-06,0.000e+00,3.254e-09,6.957e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NAND2X1P4H7L_B,1.2,6.846e-06,0.000e+00,7.194e-10,6.847e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_NOR4X6H7L_Y_B_XNOR2X0P7H7L_Y,1.2,6.731e-06,0.000e+00,3.194e-09,6.734e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_NOR4X6H7L_Y_C_XNOR2X0P5H7L_Y,1.2,6.629e-06,0.000e+00,3.162e-09,6.632e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A0_NOR4X6H7L_Y_D_XNOR2X0P5H7L_Y,1.2,6.570e-06,0.000e+00,3.159e-09,6.573e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A1_NOR4X6H7L_Y_A_XNOR2X1H7L_Y,1.2,6.286e-06,0.000e+00,3.246e-09,6.289e-06
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_A1_NOR4X6H7L_Y_D_XNOR2X0P5H7L_Y,1.2,6.082e-06,0.000e+00,3.144e-09,6.085e-06
fifo[0]_4__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.868e-06,0.000e+00,1.459e-09,5.869e-06
fifo[0]_6__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.620e-06,0.000e+00,1.470e-09,5.621e-06
fifo[0]_5__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.602e-06,0.000e+00,1.466e-09,5.603e-06
fifo[0]_3__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.598e-06,0.000e+00,1.471e-09,5.599e-06
fifo[0]_0__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.565e-06,0.000e+00,1.472e-09,5.567e-06
fifo[0]_1__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.555e-06,0.000e+00,1.472e-09,5.557e-06
fifo[0]_2__reg_p_D_NOR2BX1P4H7L_Z,1.2,5.538e-06,0.000e+00,1.472e-09,5.540e-06
SegT1.in_3__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_AND3X8H7L_C_Y_MUX2X12H7L_S0,1.2,5.426e-06,0.000e+00,1.631e-08,5.442e-06
fifo[1]_4__MUXI2X4H7L_A,1.2,5.313e-06,0.000e+00,7.263e-09,5.320e-06
fifo[1]_6__MUXI2X4H7L_A,1.2,5.296e-06,0.000e+00,7.276e-09,5.303e-06
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_XOR2X6H7L_A_B_XNOR2X1P4H7L_Y_B_XOR2X0P5H7L_Y,1.2,5.296e-06,0.000e+00,3.149e-09,5.299e-06
fifo[1]_3__MUXI2X4H7L_A,1.2,5.292e-06,0.000e+00,7.277e-09,5.299e-06
fifo[1]_0__MUXI2X4H7L_A,1.2,5.290e-06,0.000e+00,7.279e-09,5.298e-06
fifo[1]_2__MUXI2X4H7L_A,1.2,5.289e-06,0.000e+00,7.279e-09,5.296e-06
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A0_AOAI211X0P5H7L_Y_B0_NOR2X0P5H7L_Y,1.2,5.278e-06,0.000e+00,5.532e-10,5.279e-06
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_C_XNOR2X0P5H7L_Y,1.2,5.063e-06,0.000e+00,3.175e-09,5.067e-06
buffer_3__reg_p_D_MUX2X0P5H7L_Y,1.2,5.055e-06,0.000e+00,2.050e-09,5.058e-06
buffer_0__MUX2X0P5H7L_B,1.2,4.621e-06,0.000e+00,2.052e-09,4.623e-06
fifo[1]_5__MUXI2X3H7L_A,1.2,4.357e-06,0.000e+00,5.456e-09,4.363e-06
fifo[1]_1__MUXI2X3H7L_A,1.2,4.346e-06,0.000e+00,5.460e-09,4.351e-06
SegT1.in_3__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_AND3X8H7L_C,1.2,4.178e-06,0.000e+00,3.545e-09,4.182e-06
fifo[0]_7__reg_p_D_NOR2BX0P5H7L_Z,1.2,4.093e-06,0.000e+00,1.334e-09,4.094e-06
buffer_8__reg_p,1.2,3.971e-06,0.000e+00,6.604e-09,3.978e-06
buffer_4__reg_p,1.2,3.971e-06,0.000e+00,6.607e-09,3.978e-06
buffer_1__reg_p,1.2,3.971e-06,0.000e+00,6.604e-09,3.977e-06
buffer_2__reg_p,1.2,3.971e-06,0.000e+00,6.603e-09,3.977e-06
buffer_3__reg_p,1.2,3.969e-06,0.000e+00,6.602e-09,3.976e-06
buffer_7__reg_p,1.2,3.969e-06,0.000e+00,6.611e-09,3.976e-06
segT1[1]_reg_p,1.2,3.968e-06,0.000e+00,6.774e-09,3.975e-06
segT0[1]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
segT1[6]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
segT1[5]_reg_p,1.2,3.968e-06,0.000e+00,6.750e-09,3.975e-06
segT1[3]_reg_p,1.2,3.968e-06,0.000e+00,6.731e-09,3.975e-06
segT0[3]_reg_p,1.2,3.968e-06,0.000e+00,6.694e-09,3.974e-06
segT1[7]_reg_p,1.2,3.968e-06,0.000e+00,6.655e-09,3.974e-06
segT1[2]_reg_p,1.2,3.968e-06,0.000e+00,6.628e-09,3.974e-06
segT0[4]_reg_p,1.2,3.968e-06,0.000e+00,6.602e-09,3.974e-06
segT0[5]_reg_p,1.2,3.968e-06,0.000e+00,6.529e-09,3.974e-06
